date,inr_per_usd
2015-01-02,63.27
2015-01-05,63.34
2015-01-06,63.57
2015-01-07,63.27
2015-01-08,62.67
2015-01-09,62.34
2015-01-12,62.09
2015-01-13,61.97
2015-01-14,62.09
2015-01-15,62.06
2015-01-16,61.87
2015-01-20,61.64
2015-01-21,61.55
2015-01-22,61.32
2015-01-23,61.46
2015-01-26,61.46
2015-01-27,61.34
2015-01-28,61.34
2015-01-29,61.94
2015-01-30,62.01
2015-02-02,61.68
2015-02-03,61.67
2015-02-04,61.73
2015-02-05,61.73
2015-02-06,61.7
2015-02-09,62.1
2015-02-10,62.33
2015-02-11,62.41
2015-02-12,62.3
2015-02-13,62.04
2015-02-17,62.14
2015-02-18,62.25
2015-02-19,62.08
2015-02-20,62.19
2015-02-23,62.15
2015-02-24,62.07
2015-02-25,61.84
2015-02-26,61.74
2015-02-27,61.67
2015-03-02,61.87
2015-03-03,61.76
2015-03-04,62.3
2015-03-05,62.26
2015-03-06,62.45
2015-03-09,62.67
2015-03-10,62.71
2015-03-11,62.76
2015-03-12,62.44
2015-03-13,63.06
2015-03-16,62.8
2015-03-17,62.64
2015-03-18,62.69
2015-03-19,62.56
2015-03-20,62.47
2015-03-23,62.22
2015-03-24,62.4
2015-03-25,62.35
2015-03-26,62.83
2015-03-27,62.5
2015-03-30,62.52
2015-03-31,62.31
2015-04-01,62.14
2015-04-02,62.13
2015-04-03,61.99
2015-04-06,62.16
2015-04-07,62.23
2015-04-08,62.22
2015-04-09,62.18
2015-04-10,62.21
2015-04-13,62.38
2015-04-14,62.25
2015-04-15,62.34
2015-04-16,62.28
2015-04-17,62.48
2015-04-20,63.07
2015-04-21,62.92
2015-04-22,62.96
2015-04-23,63.27
2015-04-24,63.55
2015-04-27,63.34
2015-04-28,63.05
2015-04-29,63.38
2015-04-30,63.58
2015-05-01,63.63
2015-05-04,63.64
2015-05-05,63.31
2015-05-06,63.57
2015-05-07,64.08
2015-05-08,63.73
2015-05-11,63.96
2015-05-12,64.19
2015-05-13,63.88
2015-05-14,63.47
2015-05-15,63.36
2015-05-18,63.66
2015-05-19,63.8
