year,month,lgp_price_inr,note,date
2015,1,419,,2015-01-01
2016,1,495,,2016-01-01
2017,1,591,,2017-01-01
2018,1,715,,2018-01-01
2018,9,858,peak 2018,2018-09-01
2019,1,694,prices eased,2019-01-01
2020,1,714,,2020-01-01
2020,5,581,Covid — global oil crash,2020-05-01
2021,2,769,,2021-02-01
2021,7,834,,2021-07-01
2022,3,899,Russia-Ukraine spike,2022-03-01
2022,7,1053,all-time high,2022-07-01
2023,8,903,govt cut ₹200 pre-election,2023-08-01
2024,3,803,,2024-03-01
2024,8,829,,2024-08-01
2025,4,853,latest available,2025-04-01
