year,exports_usd,imports_usd,trade_balance_usd,exports_bn,imports_bn,balance_bn
2015,428630903175.95,491880074570.799,-63249171394.849,428.63090317595004,491.880074570799,-63.249171394849
2016,430433487927.696,472012694192.71,-41579206265.01404,430.433487927696,472.01269419271,-41.57920626501404
2017,489400913160.193,561612525785.532,-72211612625.33899,489.400913160193,561.612525785532,-72.21161262533899
2018,537042432147.227,642960117087.838,-105917684940.61102,537.042432147227,642.9601170878381,-105.91768494061103
2019,546033120468.0,619484791790.59,-73451671322.58997,546.033120468,619.48479179059,-73.45167132258996
2020,484690629550.363,493032797814.359,-8342168263.996033,484.690629550363,493.032797814359,-8.342168263996033
2021,643079815639.228,717119190067.13,-74039374427.90198,643.0798156392281,717.11919006713,-74.03937442790198
2022,767643055702.076,902304020924.927,-134660965222.85095,767.643055702076,902.304020924927,-134.66096522285096
2023,773177224117.866,859514164456.137,-86336940338.271,773.177224117866,859.514164456137,-86.33694033827099
2024,822141191860.488,923586640503.478,-101445448642.98999,822.141191860488,923.5866405034781,-101.44544864298999
